Drink Name,Vodka,Gin,Tequila,Rum,Triple Sec,Lime Cordial,OJ,Cranberry Juice,Top With/Add
Adirondack,,2,,,,,2,,
Bermuda Triangle,,,,2,,,1,5,
Blood- bath punch,1,,,,,,4,8,
Blossom,,,,1,,,1,,.25 oz Grenadine
Blush Lily,6,,,,1,8,,12,
Brass Monkey,1,,,1,,,4,,
California Breeze,3,,,,1,,4,4,
Cape Cod,2,,,,,,,6,
Cape Codder,2,,,,,,,6,
Citrus Cranberry Punch,2,,,,26,,6,8,.75 oz sprite
Cosmo,2,,,,2,1,,2,
Cosmo Rita,,,3,,1,1,,2,
Cosmopolitan,2,,,,2,1,,2,
Cran Aid,,,2,,,,1,,
Cranberry,,,,,,,6,,
Cranberry Iced Tea,1,1,1,1,1,2,,8,
Cranberry Juice,,,,,,,6,,
Cranberry Kamikaze,3,,,,2,3,,2,
Cranberry Margarita,,,3,,1,2,,4,
Cranberry Orange Crush,2,,,,,,2,2,.5 oz lemon lime soda
Cranberry Orange Rum Spritzer,,,,3,,,2,2,1 oz lemon lime soda
Cranberry Shot,,,,,,,1,,
Cranberry Toad,2,,,,,,1,5,
Cranberry Vodka,1.5,,,,,,,4,
Crantinis,4,,,,2,1,,8,
Creamsicle Delight,3,,,,,,4,,2 oz gingerale
Gimlet,,2,,,,1,,,
Cranberry Gimlet,,8,,,,4,,3,
Gin and Cranberry,,1,,,,0,,3,
Gin and Orange,,1.5,,,,,3,,
Gin and Tonic,,3,,,,,,,4 oz tonic water
Gin Daiquiri,,2,,1,,1,,,
Gin Screwdriver,,3,,,,,6,,
Hurricane,,,,2,,,3,3,
Kamakazie,1,,,,1,1,,,
Leq Spreader,1,1,1,1,,,,,
Long Beach Tea,1,1,1,1,1,2,,2,
Madras,3,,,,,,2,8,
Margarita,,,3,,1,2,,,
Metropolitan,2,,,,2,1,,1,
Metropolitan Cranberry Martini,2,,,,2,1,,1,
Mexian Madras,,,4,,,1,2,12,
Mexican River,,,2,,,2,1,6,
Midnight Sun Martini,,,,,1,,,6,
My Pleasure,,,,2,,,,6,
New England Iced Tea,1,1,1,1,1,1,,2,
OJ,,,,,,,6,,
OJ Shot,,,,,,,1,,
Orange Blossom,,2,,,,,2,,
Orange Crush,3,,,,3,,2,,2 oz sprite
Orange Gin Buck,,3,,,,,1,,3 oz seltzer
Orange Juice,,,,,,,6,,
Orange Juice Shot,,,,,,,1,,
Orange Lime Gin Fizz,,4,,,,1,1,,12 oz lemon lime soda
Orange Margarita,,,3,,1,2,4,,
Orange Vesper Martini,2,6,,,1,,2,,
Phoenix Sunset Margarita,,,3,,,1,6,,.17 oz grenadine (splash)
Prickly Madras,,,2,,,,3,3,
Red Rooster,4,,,,,,1,8,
Rum Screwdriver,,,,2,,,4,,
Rum Shot,,,,1,,,,,
Rum Sunburst,,,,2,,,5,1,
Sandy Margarita,,,3,,,6,3,,
Screwdriver,2,,,,,,6,,
Shark,3,,3,,,,,,
South of the Border Screwdriver,,,2,,,,6,,
Tequila Bite,,,2,,,,,6,
Tequila Oasis,,,2,,1,,2,4,
Tequila Screwdriver,,,2,,,,4,,
Tequila Shot,,,1,,,,,,
Tequila Sunburst,,,2,,,,5,1,
Tequila Sunrise,,,3,,,,8,,.5 oz Grenadine
The GTO,,16,,,,2,1,,4 oz tonic water
Vodka Cranberry,3,,,,,,,8,
Vodka Gimlet,2,,,,,1,,,
Vodka Shot,1,,,,,,,,
Vodka Sunrise,1,,,,,,5,,1 oz grenadine
Vodka Tonic,3,,,,,,,,4 oz tonic water
Double Dutch Cosmopolitan,,5,,,3,1,,6,
Gin Cosmopolitan,,5,,,3,1,,6,
Plymouth Rock,,3,,,,,,5,